Area,Year,Deaths
"Camden, NJ",2014,45
"Elizabeth, NJ",2014,29
"Erie, PA",2014,54
"Jersey City, NJ",2014,23
"New York City, NY",2014,789
"Newark, NJ",2014,30
"Paterson, NJ",2014,19
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,52
"Reading, PA",2014,42
"Rochester, NY",2014,171
"Schenectady, NY",2014,15
"Scranton, PA",2014,36
"Syracuse, NY",2014,91
"Trenton, NJ",2014,
"Utica, NY",2014,19
"Yonkers, NY",2014,26
E.N. Central,2014,1817
"Akron, OH",2014,43
"Canton, OH",2014,41
"Chicago, IL",2014,242
"Cincinnati, OH",2014,
